structure_id,native_refold_tm_percent,reference_mode,backend,backend_label
5ocl_H_G,99.12380675318592,relaxed,esmfold2,ESM
5ocl_I_A,80.02142386979185,relaxed,esmfold2,ESM
5ovw_H_A,97.791257059981,relaxed,esmfold2,ESM
5sv3_H_A,97.7020861150098,relaxed,esmfold2,ESM
5sv3_H_B,97.4022382288914,relaxed,esmfold2,ESM
5vxm_H_A,59.30878301065919,relaxed,esmfold2,ESM
6app_H_A,89.69975425371568,relaxed,esmfold2,ESM
6c5w_H_A,18.80075750025747,relaxed,esmfold2,ESM
6dbf_H_A,99.13838028139769,relaxed,esmfold2,ESM
6ey0_H_A,90.46831968694067,relaxed,esmfold2,ESM
6ey0_H_B,91.04107138899474,relaxed,esmfold2,ESM
6ey0_H_C,93.27999861046106,relaxed,esmfold2,ESM
6ey0_H_D,91.67333535029682,relaxed,esmfold2,ESM
6gjq_H_A,95.24448711008505,relaxed,esmfold2,ESM
6gjq_H_B,95.49304043748695,relaxed,esmfold2,ESM
6gjq_H_C,95.4282274570136,relaxed,esmfold2,ESM
6gjq_H_D,95.4419706611756,relaxed,esmfold2,ESM
6gjs_H_A,97.26033483594564,relaxed,esmfold2,ESM
6gjs_H_B,96.89277453510935,relaxed,esmfold2,ESM
6gju_H_A,90.1505566365978,relaxed,esmfold2,ESM
6gju_H_B,90.87291114973644,relaxed,esmfold2,ESM
6gk4_H_A,97.59532225329366,relaxed,esmfold2,ESM
6gk4_H_B,75.74589492766064,relaxed,esmfold2,ESM
6ir1_H_A,98.8727826345702,relaxed,esmfold2,ESM
6ir2_H_A,99.1081200469828,relaxed,esmfold2,ESM
6jri_H_A,87.16945918331771,relaxed,esmfold2,ESM
6jri_H_B,90.96543032578325,relaxed,esmfold2,ESM
6jri_H_C,92.94859352042155,relaxed,esmfold2,ESM
6jri_H_D,92.22136607937529,relaxed,esmfold2,ESM
6lr7_H_A,95.21521158815564,relaxed,esmfold2,ESM
6r7t_H_A,84.86555547070364,relaxed,esmfold2,ESM
6rpj_H_A,95.8460675611722,relaxed,esmfold2,ESM
6rpj_H_D,95.62068314957796,relaxed,esmfold2,ESM
6rqm_H_A,56.914100997057446,relaxed,esmfold2,ESM
6rvc_H_A,64.92609722760687,relaxed,esmfold2,ESM
6rvc_H_B,57.72467866072907,relaxed,esmfold2,ESM
6rvc_H_C,56.46384248965533,relaxed,esmfold2,ESM
6u12_H_A,99.30475806416462,relaxed,esmfold2,ESM
6u54_H_A,95.67945131806076,relaxed,esmfold2,ESM
6u55_H_A,86.69736003834856,relaxed,esmfold2,ESM
6waq_H_A,91.10199944986071,relaxed,esmfold2,ESM
6war_H_A,97.32218172255928,relaxed,esmfold2,ESM
6war_H_B,97.9038696711708,relaxed,esmfold2,ESM
6war_H_C,97.50540283620084,relaxed,esmfold2,ESM
6war_H_D,97.81015921147146,relaxed,esmfold2,ESM
6war_H_E,97.52995462919272,relaxed,esmfold2,ESM
6war_H_F,97.5292745593064,relaxed,esmfold2,ESM
6war_H_G,97.61968388521257,relaxed,esmfold2,ESM
6war_I_A,97.72653413986536,relaxed,esmfold2,ESM
6ww2_H_A,67.59787509809973,relaxed,esmfold2,ESM
6xzu_H_A,98.13474273031828,relaxed,esmfold2,ESM
6y1r_H_A,33.247835032411515,relaxed,esmfold2,ESM
6yz7_H_A,98.22920665444168,relaxed,esmfold2,ESM
6yz7_H_B,98.10084832577924,relaxed,esmfold2,ESM
6z2m_H_A,97.26591779315032,relaxed,esmfold2,ESM
6z2m_H_B,98.8189293627881,relaxed,esmfold2,ESM
6zcz_H_A,98.08697286052362,relaxed,esmfold2,ESM
6zh9_H_A,98.3393988089402,relaxed,esmfold2,ESM
7aej_H_A,1.5934619786363964,relaxed,esmfold2,ESM
7anq_H_A,92.246820769548,relaxed,esmfold2,ESM
7azb_H_A,98.74542504950122,relaxed,esmfold2,ESM
7b14_H_A,93.99991863903595,relaxed,esmfold2,ESM
7b27_H_A,79.58103087691862,relaxed,esmfold2,ESM
7b27_H_B,98.0742889761269,relaxed,esmfold2,ESM
7b5g_H_A,93.53981519685584,relaxed,esmfold2,ESM
7b5g_H_B,95.77288994711874,relaxed,esmfold2,ESM
7b5g_H_C,92.64349988911582,relaxed,esmfold2,ESM
7b5g_H_D,92.41940830807692,relaxed,esmfold2,ESM
7c8w_H_A,97.63681473237985,relaxed,esmfold2,ESM
7can_H_A,96.85939846039987,relaxed,esmfold2,ESM
7cz0_H_A,99.20759200240327,relaxed,esmfold2,ESM
7cz0_H_B,98.71697183376772,relaxed,esmfold2,ESM
7cz0_H_C,98.93397539536176,relaxed,esmfold2,ESM
7cz0_H_D,99.08752780687652,relaxed,esmfold2,ESM
7czd_H_A,98.67432229029052,relaxed,esmfold2,ESM
7d6y_H_A,97.6332287326984,relaxed,esmfold2,ESM
7d8b_H_A,96.34650174358372,relaxed,esmfold2,ESM
7d8b_H_B,96.99821903975456,relaxed,esmfold2,ESM
7dst_H_A,30.426262840969475,relaxed,esmfold2,ESM
7e53_H_A,99.24990950941034,relaxed,esmfold2,ESM
7eow_H_A,99.45825952204966,relaxed,esmfold2,ESM
7fat_H_A,93.06633851917204,relaxed,esmfold2,ESM
7fau_H_A,93.2119254061944,relaxed,esmfold2,ESM
7jhg_H_A,63.12363623027577,relaxed,esmfold2,ESM
7jhh_H_A,63.215771232253005,relaxed,esmfold2,ESM
7jkm_H_A,70.92784720412834,relaxed,esmfold2,ESM
7kgj_H_A,98.26036267812265,relaxed,esmfold2,ESM
7kgk_H_A,98.94089540800364,relaxed,esmfold2,ESM
7klw_H_A,97.59817421721566,relaxed,esmfold2,ESM
7klw_H_B,97.54627041082205,relaxed,esmfold2,ESM
7km5_H_A,97.34363878177764,relaxed,esmfold2,ESM
7km5_H_B,98.07705393033405,relaxed,esmfold2,ESM
7kn5_H_A,98.53158888548612,relaxed,esmfold2,ESM
7kn5_H_B,98.84989809301914,relaxed,esmfold2,ESM
7kn6_H_A,96.94511062277464,relaxed,esmfold2,ESM
7kn7_H_A,94.3376488168662,relaxed,esmfold2,ESM
7ldj_H_A,97.25185482064228,relaxed,esmfold2,ESM
7ldj_H_B,91.67808067371372,relaxed,esmfold2,ESM
7ldj_H_C,94.72074174712648,relaxed,esmfold2,ESM
7ldj_H_D,96.90979652034436,relaxed,esmfold2,ESM
7lx5_H_A,97.35559117728938,relaxed,esmfold2,ESM
7lx5_H_B,97.70606033257816,relaxed,esmfold2,ESM
7m74_H_A,64.4656819036771,relaxed,esmfold2,ESM
7mdw_H_A,93.93206309249516,relaxed,esmfold2,ESM
7mdw_H_B,94.68773980214904,relaxed,esmfold2,ESM
7mej_H_A,86.80241227532083,relaxed,esmfold2,ESM
7mji_H_A,98.29776661811908,relaxed,esmfold2,ESM
7n0r_H_A,93.83567567917392,relaxed,esmfold2,ESM
7n0r_H_B,95.04996091246942,relaxed,esmfold2,ESM
7n9a_H_A,95.42060579295018,relaxed,esmfold2,ESM
7n9u_H_A,70.4257186423638,relaxed,esmfold2,ESM
7n9u_H_B,39.74941087729116,relaxed,esmfold2,ESM
7n9v_H_A,81.20336675100049,relaxed,esmfold2,ESM
7n9v_H_B,86.31496542423798,relaxed,esmfold2,ESM
7n9v_H_C,83.24347769197782,relaxed,esmfold2,ESM
7n9v_H_D,90.62277508931386,relaxed,esmfold2,ESM
7n9x_H_A,37.16832270860978,relaxed,esmfold2,ESM
7n9x_H_B,37.396263747804575,relaxed,esmfold2,ESM
7n9x_H_C,92.73391020157376,relaxed,esmfold2,ESM
7ndf_H_A,89.11753951479935,relaxed,esmfold2,ESM
7ndf_H_B,93.3494648835831,relaxed,esmfold2,ESM
7nll_H_A,97.54922366718348,relaxed,esmfold2,ESM
7nll_H_B,97.6696956683496,relaxed,esmfold2,ESM
7nmu_H_A,32.51411252286386,relaxed,esmfold2,ESM
7nmu_H_B,32.76266365344738,relaxed,esmfold2,ESM
7now_H_A,98.31318454847812,relaxed,esmfold2,ESM
7now_H_B,98.68440885812714,relaxed,esmfold2,ESM
7nvo_H_A,95.44715368815504,relaxed,esmfold2,ESM
7nvo_H_B,96.21180890085002,relaxed,esmfold2,ESM
7nxx_H_A,98.69253301420554,relaxed,esmfold2,ESM
7o06_H_A,92.11145042067024,relaxed,esmfold2,ESM
7o0s_H_A,88.78187173934002,relaxed,esmfold2,ESM
7o31_H_A,98.9398232845673,relaxed,esmfold2,ESM
7oao_H_A,98.57268873422244,relaxed,esmfold2,ESM
7oap_H_A,95.61537638194612,relaxed,esmfold2,ESM
7oaq_H_A,95.82467603137854,relaxed,esmfold2,ESM
7oau_H_A,99.26497898261218,relaxed,esmfold2,ESM
7oay_H_A,98.81161188548128,relaxed,esmfold2,ESM
7oay_H_B,98.60133187186882,relaxed,esmfold2,ESM
7oay_H_C,98.5091853036587,relaxed,esmfold2,ESM
7oay_H_D,98.56245088774078,relaxed,esmfold2,ESM
7oay_H_E,98.90645107562256,relaxed,esmfold2,ESM
7oay_H_F,98.62775950259386,relaxed,esmfold2,ESM
7olz_H_A,83.92234348818704,relaxed,esmfold2,ESM
7ozt_H_A,97.83977238160972,relaxed,esmfold2,ESM
7php_H_A,53.69484811088034,relaxed,esmfold2,ESM
7phq_H_A,65.76073113706082,relaxed,esmfold2,ESM
7phq_H_B,69.2293348283806,relaxed,esmfold2,ESM
7pij_H_A,69.50269864462227,relaxed,esmfold2,ESM
7q3r_H_A,97.29668698995022,relaxed,esmfold2,ESM
7q6c_H_A,97.98419490661496,relaxed,esmfold2,ESM
7r1z_H_A,25.99925175604981,relaxed,esmfold2,ESM
7r1z_H_B,20.357995877475428,relaxed,esmfold2,ESM
7r23_H_A,88.37567207166134,relaxed,esmfold2,ESM
7r23_H_B,83.89902781104789,relaxed,esmfold2,ESM
7r24_H_A,37.070317187270895,relaxed,esmfold2,ESM
7r24_H_B,78.50696619584357,relaxed,esmfold2,ESM
7r98_H_A,93.798793922481,relaxed,esmfold2,ESM
7r98_H_B,79.8335584881563,relaxed,esmfold2,ESM
7r98_H_C,93.43175298605992,relaxed,esmfold2,ESM
7rby_H_A,97.6815239226718,relaxed,esmfold2,ESM
7rby_H_B,98.34870818501685,relaxed,esmfold2,ESM
7saj_H_A,99.02356352646864,relaxed,esmfold2,ESM
7saj_H_B,98.7555752090575,relaxed,esmfold2,ESM
7saj_H_C,98.98185658721668,relaxed,esmfold2,ESM
7saj_H_D,98.95328886991834,relaxed,esmfold2,ESM
7saj_H_E,99.0124045918391,relaxed,esmfold2,ESM
7sak_H_A,91.56136975674566,relaxed,esmfold2,ESM
7sk5_H_A,82.79378865545117,relaxed,esmfold2,ESM
7sk7_H_A,72.36225313969847,relaxed,esmfold2,ESM
7tuy_H_A,65.62583007462503,relaxed,esmfold2,ESM
7vnb_H_A,84.75098699572982,relaxed,esmfold2,ESM
7voa_H_A,98.01894321496256,relaxed,esmfold2,ESM
7w1s_H_A,97.87471972687656,relaxed,esmfold2,ESM
7wd1_H_A,98.7240816204743,relaxed,esmfold2,ESM
7wd1_H_B,98.55278309613912,relaxed,esmfold2,ESM
7wki_H_A,89.84253523515262,relaxed,esmfold2,ESM
7wpd_H_A,76.56317537910556,relaxed,esmfold2,ESM
7wpe_H_A,86.85568370825445,relaxed,esmfold2,ESM
7wpe_H_B,85.93464066418768,relaxed,esmfold2,ESM
7wpf_H_A,81.51289848088076,relaxed,esmfold2,ESM
7wpf_H_B,78.68164711951073,relaxed,esmfold2,ESM
7wpf_H_C,83.40423412427931,relaxed,esmfold2,ESM
7x2j_H_A,97.9713025534179,relaxed,esmfold2,ESM
7x2k_H_A,98.48179556935138,relaxed,esmfold2,ESM
7x2m_H_A,98.1957265451912,relaxed,esmfold2,ESM
7x7d_H_A,96.59737689224347,relaxed,esmfold2,ESM
7x7d_H_B,97.80027351050153,relaxed,esmfold2,ESM
7x7d_H_C,97.06889812333142,relaxed,esmfold2,ESM
7x7e_H_A,98.1632382683934,relaxed,esmfold2,ESM
7x7e_H_B,98.04319845845652,relaxed,esmfold2,ESM
7x7e_H_C,98.0778132605534,relaxed,esmfold2,ESM
7xod_H_A,74.98960546653642,relaxed,esmfold2,ESM
7xod_H_B,81.0695110575905,relaxed,esmfold2,ESM
7xod_H_C,77.48686073954532,relaxed,esmfold2,ESM
7xqv_H_A,75.90987391320483,relaxed,esmfold2,ESM
7xtp_H_A,96.95237603013264,relaxed,esmfold2,ESM
7xtp_H_B,96.70598308494884,relaxed,esmfold2,ESM
7y0o_H_A,90.2924954543876,relaxed,esmfold2,ESM
7yud_H_A,78.18972034557086,relaxed,esmfold2,ESM
7yuf_H_A,78.37541382829238,relaxed,esmfold2,ESM
7z1a_H_A,98.63071259656246,relaxed,esmfold2,ESM
7z1a_H_B,98.5599473941504,relaxed,esmfold2,ESM
7z1a_H_C,98.38991746006889,relaxed,esmfold2,ESM
7z1a_H_D,98.39544212558609,relaxed,esmfold2,ESM
7z1b_H_A,98.29856363330131,relaxed,esmfold2,ESM
7z1b_H_B,98.09890881234269,relaxed,esmfold2,ESM
7z1b_H_C,97.70321871105166,relaxed,esmfold2,ESM
7z1b_H_D,97.5969386924255,relaxed,esmfold2,ESM
7z1c_H_A,98.30600916322076,relaxed,esmfold2,ESM
7z1c_H_B,98.2565781383161,relaxed,esmfold2,ESM
7z1d_H_A,99.3796760849917,relaxed,esmfold2,ESM
7z1e_H_A,98.57018028013805,relaxed,esmfold2,ESM
7zf4_H_A,96.39605201578776,relaxed,esmfold2,ESM
7zfb_H_A,97.32288440379648,relaxed,esmfold2,ESM
7zfb_H_B,97.66412120232704,relaxed,esmfold2,ESM
7zfc_H_A,93.78426874540904,relaxed,esmfold2,ESM
7zfe_H_A,95.96255459046732,relaxed,esmfold2,ESM
7zfe_H_B,95.84067343914424,relaxed,esmfold2,ESM
7zfe_H_C,95.57601431715064,relaxed,esmfold2,ESM
7zfe_H_D,60.723032737575934,relaxed,esmfold2,ESM
7zk1_H_A,86.65034899879875,relaxed,esmfold2,ESM
7zk1_H_B,88.85471061928713,relaxed,esmfold2,ESM
7zkz_H_A,96.93121921900058,relaxed,esmfold2,ESM
7zkz_H_B,96.37424503966044,relaxed,esmfold2,ESM
7zlg_H_A,70.23663837957156,relaxed,esmfold2,ESM
7zlh_H_A,74.06469771641227,relaxed,esmfold2,ESM
7zli_H_A,66.98086678129388,relaxed,esmfold2,ESM
7zlj_H_A,62.79646661134532,relaxed,esmfold2,ESM
7zyi_H_A,71.8377058921025,relaxed,esmfold2,ESM
8aom_H_A,93.23028038230892,relaxed,esmfold2,ESM
8bev_H_A,93.12520571264876,relaxed,esmfold2,ESM
8c3k_H_A,90.71399865176846,relaxed,esmfold2,ESM
8c8p_H_A,95.41720438093134,relaxed,esmfold2,ESM
8cii_H_A,98.46882286495784,relaxed,esmfold2,ESM
8cwv_H_A,98.116024950682,relaxed,esmfold2,ESM
8cyj_H_A,87.49313160815836,relaxed,esmfold2,ESM
8cyj_H_B,87.73334696052817,relaxed,esmfold2,ESM
8cyj_H_C,85.86745914439308,relaxed,esmfold2,ESM
8cyj_H_D,87.98433678719893,relaxed,esmfold2,ESM
8di5_H_A,95.520889709443,relaxed,esmfold2,ESM
8dly_H_A,94.40828412774074,relaxed,esmfold2,ESM
8dm0_H_A,94.1812187439807,relaxed,esmfold2,ESM
8dqu_H_A,24.53658209821512,relaxed,esmfold2,ESM
8dqu_H_B,28.55394801983497,relaxed,esmfold2,ESM
8elo_H_A,98.48217507177225,relaxed,esmfold2,ESM
8elp_H_A,98.8389836552534,relaxed,esmfold2,ESM
8elq_H_A,98.01809019247888,relaxed,esmfold2,ESM
8ew6_H_A,87.52223269314965,relaxed,esmfold2,ESM
8g79_H_A,95.53377987135907,relaxed,esmfold2,ESM
8g79_H_B,95.01226047963436,relaxed,esmfold2,ESM
8g79_H_C,95.32426922064468,relaxed,esmfold2,ESM
8gq5_H_A,47.21109194382248,relaxed,esmfold2,ESM
8gq5_H_B,45.33633821252095,relaxed,esmfold2,ESM
8gq5_H_C,46.673437850130846,relaxed,esmfold2,ESM
8gq5_H_D,49.36016523073004,relaxed,esmfold2,ESM
8gq5_H_E,56.71488168170703,relaxed,esmfold2,ESM
8gq5_H_F,79.72350584088767,relaxed,esmfold2,ESM
8gq5_H_G,79.37820139656529,relaxed,esmfold2,ESM
8gq5_I_A,59.09048124236723,relaxed,esmfold2,ESM
8gq5_I_B,61.825870515704274,relaxed,esmfold2,ESM
8gq5_I_C,60.616373272079805,relaxed,esmfold2,ESM
8gq5_I_D,63.31386508889091,relaxed,esmfold2,ESM
8gq5_I_E,57.46044170716961,relaxed,esmfold2,ESM
8gq5_I_F,54.94760795157583,relaxed,esmfold2,ESM
8gq5_I_G,58.9319014430578,relaxed,esmfold2,ESM
8gq5_J_A,59.99387536500432,relaxed,esmfold2,ESM
8gq5_J_B,44.3334801227632,relaxed,esmfold2,ESM
8gsi_H_A,71.58802279448696,relaxed,esmfold2,ESM
8h5t_H_A,94.40676103741026,relaxed,esmfold2,ESM
8h5u_H_A,98.22906202607248,relaxed,esmfold2,ESM
8h5u_H_B,98.41030718473696,relaxed,esmfold2,ESM
8h91_H_A,98.22053121136172,relaxed,esmfold2,ESM
8h91_H_B,99.102380266644,relaxed,esmfold2,ESM
8hbg_H_A,30.75422154445201,relaxed,esmfold2,ESM
8hbi_H_A,25.121108410059623,relaxed,esmfold2,ESM
8hbj_H_A,30.8477045784138,relaxed,esmfold2,ESM
8hbj_H_B,24.64735512891913,relaxed,esmfold2,ESM
8heg_H_A,24.04975837358867,relaxed,esmfold2,ESM
8hii_H_A,59.625376322417445,relaxed,esmfold2,ESM
8hij_H_A,58.91011596873382,relaxed,esmfold2,ESM
8hik_H_A,66.94381287707546,relaxed,esmfold2,ESM
8hr2_H_A,94.83421454173316,relaxed,esmfold2,ESM
8hr2_H_B,95.3505238013894,relaxed,esmfold2,ESM
8ilx_H_A,99.30713312183283,relaxed,esmfold2,ESM
8ilx_H_B,99.42389179943557,relaxed,esmfold2,ESM
8im0_H_A,99.30021229322487,relaxed,esmfold2,ESM
8im1_H_A,99.41857052393313,relaxed,esmfold2,ESM
8j5j_H_A,97.59999568726772,relaxed,esmfold2,ESM
8j9o_H_A,59.5932491071676,relaxed,esmfold2,ESM
8jh7_H_A,66.25209568628435,relaxed,esmfold2,ESM
8jhc_H_A,63.33740141931096,relaxed,esmfold2,ESM
8jys_H_A,85.55220714788935,relaxed,esmfold2,ESM
8jys_H_B,90.20652077081714,relaxed,esmfold2,ESM
8k33_H_A,99.50481256774356,relaxed,esmfold2,ESM
8k33_H_B,99.6039885473082,relaxed,esmfold2,ESM
8k33_H_C,99.7215562093631,relaxed,esmfold2,ESM
8k33_H_D,99.24192120915625,relaxed,esmfold2,ESM
